feature,mean_abs_shap,std_abs_shap,min_abs_shap,max_abs_shap,rank
mmu-miR-17-5p,0.6057917830635079,0.06486438032035784,0.5413854957810406,0.6988951244747775,1
mmu-miR-20a-5p,0.3405486547177018,0.05688315058131674,0.29646512294176797,0.4356303549547939,2
mmu-miR-18a-5p,0.2502334655984043,0.04781532406231878,0.198885305455933,0.3210633756196409,3
mmu-miR-92a-1-5p,0.2264480933823223,0.05178439105627969,0.1596327069554141,0.30357791936169065,4
mmu-miR-19a-5p,0.22131977812426934,0.0462827450386226,0.18024622344871408,0.29699088286808584,5
mmu-miR-122-5p,0.19062047197882537,0.012121778264878712,0.16926450511538313,0.19821344601719043,6
