seed,fold,sample_id,cohort,fold_mse,selected_brain_targets
404,6,HC-LAR-5,HC,0.22696635127067566,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
404,7,VC-LAR-1,VC,0.708366870880127,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
404,8,VC-LAR-13,VC,1.5150096416473389,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
404,9,VC-LAR-5,VC,3.076371669769287,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
505,1,FL-LAR-1,FL,1.035082459449768,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
505,2,FL-LAR-13,FL,0.17576584219932556,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
505,3,FL-LAR-5,FL,0.2535209059715271,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
505,4,HC-LAR-1,HC,6.563588619232178,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
505,5,HC-LAR-13,HC,1.224282145500183,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
505,6,HC-LAR-5,HC,0.1770268976688385,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
505,7,VC-LAR-1,VC,1.163761854171753,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
505,8,VC-LAR-13,VC,2.0987513065338135,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
505,9,VC-LAR-5,VC,3.028358221054077,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
