permutation,vmse,vmse_std_across_seeds,n_seeds
1,3.2415745377457865,0.2802233778699455,5
2,2.06621487801411,0.3161115304248803,5
3,3.3655725625593647,0.5283058802405867,5
4,4.323823600254039,0.4801077973456446,5
5,3.0588409570290818,0.5092975064399948,5
6,1.712834986437247,0.20126507808717867,5
7,3.5951775960283725,0.4233540631163954,5
8,3.1584834746294304,0.4869523795946855,5
9,5.433176937058508,0.9449534994735769,5
10,3.3216310415985695,1.0297544170397506,5
11,2.5683103421012765,0.1872494207092021,5
12,2.6607383977981054,0.3515346658052015,5
13,2.8033551808224035,0.47875395671588644,5
14,2.5528449381357836,0.367014740595008,5
15,4.131386412664641,0.5695193003014385,5
16,4.018983250946829,0.5866403004131215,5
17,5.053481286766803,0.5397590138180389,5
18,1.8386841144750694,0.4278571580597308,5
19,3.706462410045355,0.31229686963553444,5
20,1.6161969383597796,0.21730286479310162,5
21,2.1727487559046232,0.13642846546700504,5
22,3.98813039199091,0.43399033017256033,5
23,1.9263908813321027,0.2021343169241526,5
24,2.2994463270948557,0.20734372520371153,5
25,1.2379766238563,0.1224401516753671,5
26,3.820008885211551,0.11141523952774483,5
27,3.001164093322013,0.3999638485592835,5
28,2.655369114036604,0.2584860793846037,5
29,1.5343154857078747,0.17032273316714452,5
30,4.905337755591211,0.30930466544665675,5
31,4.697271292439784,0.6414925156700664,5
32,1.677044841402757,0.1640763311729133,5
33,2.5561192881346444,0.19263336072351944,5
34,1.6985433836296857,0.15642096037455835,5
35,3.8306271822330324,0.9663000071087643,5
36,2.067758955111684,0.1810473111263387,5
37,2.579451291475961,0.8057129348014712,5
38,4.330783064938703,0.9491635273273099,5
39,3.342923924503424,0.7845356491984754,5
40,3.5349097946436436,0.618526490423852,5
41,2.356707133603626,0.24376531736022305,5
42,1.47230012580651,0.2156832454115202,5
43,2.223999248004273,0.1511502328762299,5
44,1.634692371873129,0.2551044568994199,5
45,1.8859876647236722,0.13098431723057802,5
46,2.2185603684128745,0.4795855659707355,5
47,2.84490002232592,0.429272452634537,5
48,2.1026260888331363,0.29712911047492063,5
49,2.7246201390084797,0.3483731886259793,5
50,3.108416656625642,0.6514129793153767,5
51,2.276442125201183,0.11980067867548812,5
52,2.7496426443248883,0.09704657245513834,5
53,3.330288110145699,0.20946152851425684,5
54,3.6667410282520643,0.5650132278614538,5
55,3.236795854554967,0.37959835870417125,5
56,3.454458698401472,0.2592926227984073,5
57,2.8647215543643187,0.17134213683619745,5
58,2.1954053378040723,0.29601793873711135,5
