seed,fold,sample_id,cohort,feature,target,shap_value,abs_shap_value
101,2,FL-LAR-13,FL,mmu-miR-19a-5p,mmu-let-7c-5p,0.10307378506646879,0.10307378506646879
101,2,FL-LAR-13,FL,mmu-miR-19a-5p,mmu-let-7a-5p,0.14722419655736313,0.14722419655736313
101,2,FL-LAR-13,FL,mmu-miR-19a-5p,mmu-miR-26a-5p,0.13681647039193193,0.13681647039193193
101,2,FL-LAR-13,FL,mmu-miR-19a-5p,mmu-let-7b-5p,0.09335070215456648,0.09335070215456648
101,2,FL-LAR-13,FL,mmu-miR-20a-5p,mmu-miR-124-3p,0.17622390629840087,0.17622390629840087
101,2,FL-LAR-13,FL,mmu-miR-20a-5p,mmu-let-7c-5p,-0.2562338014293346,0.2562338014293346
101,2,FL-LAR-13,FL,mmu-miR-20a-5p,mmu-let-7a-5p,-0.25764518351085536,0.25764518351085536
101,2,FL-LAR-13,FL,mmu-miR-20a-5p,mmu-miR-26a-5p,-0.18888874924450655,0.18888874924450655
101,2,FL-LAR-13,FL,mmu-miR-20a-5p,mmu-let-7b-5p,-0.2698445386088377,0.2698445386088377
101,2,FL-LAR-13,FL,mmu-miR-92a-1-5p,mmu-miR-124-3p,-0.05790895654160216,0.05790895654160216
101,2,FL-LAR-13,FL,mmu-miR-92a-1-5p,mmu-let-7c-5p,-0.02464460926081896,0.02464460926081896
101,2,FL-LAR-13,FL,mmu-miR-92a-1-5p,mmu-let-7a-5p,0.0077253303720984665,0.0077253303720984665
101,2,FL-LAR-13,FL,mmu-miR-92a-1-5p,mmu-miR-26a-5p,-0.0541503700534426,0.0541503700534426
101,2,FL-LAR-13,FL,mmu-miR-92a-1-5p,mmu-let-7b-5p,-0.014532465977633025,0.014532465977633025
101,3,FL-LAR-5,FL,mmu-miR-122-5p,mmu-miR-124-3p,0.27323177556681916,0.27323177556681916
101,3,FL-LAR-5,FL,mmu-miR-122-5p,mmu-let-7c-5p,-0.08845813419223618,0.08845813419223618
101,3,FL-LAR-5,FL,mmu-miR-122-5p,mmu-miR-26a-5p,-0.08108224449121437,0.08108224449121437
101,3,FL-LAR-5,FL,mmu-miR-122-5p,mmu-let-7a-5p,-0.12067209795641255,0.12067209795641255
101,3,FL-LAR-5,FL,mmu-miR-122-5p,mmu-miR-181a-5p,-0.09681687102347497,0.09681687102347497
101,3,FL-LAR-5,FL,mmu-miR-17-5p,mmu-miR-124-3p,0.24365643069177165,0.24365643069177165
101,3,FL-LAR-5,FL,mmu-miR-17-5p,mmu-let-7c-5p,0.6751546487052111,0.6751546487052111
101,3,FL-LAR-5,FL,mmu-miR-17-5p,mmu-miR-26a-5p,0.6297832164508389,0.6297832164508389
101,3,FL-LAR-5,FL,mmu-miR-17-5p,mmu-let-7a-5p,0.6025167106049293,0.6025167106049293
101,3,FL-LAR-5,FL,mmu-miR-17-5p,mmu-miR-181a-5p,0.31003435393419454,0.31003435393419454
101,3,FL-LAR-5,FL,mmu-miR-18a-5p,mmu-miR-124-3p,0.28993700142503553,0.28993700142503553
101,3,FL-LAR-5,FL,mmu-miR-18a-5p,mmu-let-7c-5p,0.025512454956090946,0.025512454956090946
101,3,FL-LAR-5,FL,mmu-miR-18a-5p,mmu-miR-26a-5p,-0.08041265494127105,0.08041265494127105
101,3,FL-LAR-5,FL,mmu-miR-18a-5p,mmu-let-7a-5p,-0.03136825306864921,0.03136825306864921
101,3,FL-LAR-5,FL,mmu-miR-18a-5p,mmu-miR-181a-5p,-0.20420021755841547,0.20420021755841547
101,3,FL-LAR-5,FL,mmu-miR-19a-5p,mmu-miR-124-3p,-0.18369222378581385,0.18369222378581385
101,3,FL-LAR-5,FL,mmu-miR-19a-5p,mmu-let-7c-5p,0.030952425666327995,0.030952425666327995
101,3,FL-LAR-5,FL,mmu-miR-19a-5p,mmu-miR-26a-5p,0.07965566809846986,0.07965566809846986
101,3,FL-LAR-5,FL,mmu-miR-19a-5p,mmu-let-7a-5p,0.06500396004509333,0.06500396004509333
101,3,FL-LAR-5,FL,mmu-miR-19a-5p,mmu-miR-181a-5p,0.11886241318691948,0.11886241318691948
101,3,FL-LAR-5,FL,mmu-miR-20a-5p,mmu-miR-124-3p,0.1083251619143995,0.1083251619143995
101,3,FL-LAR-5,FL,mmu-miR-20a-5p,mmu-let-7c-5p,-0.1902275718350818,0.1902275718350818
101,3,FL-LAR-5,FL,mmu-miR-20a-5p,mmu-miR-26a-5p,-0.1305592553285048,0.1305592553285048
101,3,FL-LAR-5,FL,mmu-miR-20a-5p,mmu-let-7a-5p,-0.1946106240842104,0.1946106240842104
101,3,FL-LAR-5,FL,mmu-miR-20a-5p,mmu-miR-181a-5p,0.00047231479754072936,0.00047231479754072936
101,3,FL-LAR-5,FL,mmu-miR-92a-1-5p,mmu-miR-124-3p,-0.19417065816378462,0.19417065816378462
101,3,FL-LAR-5,FL,mmu-miR-92a-1-5p,mmu-let-7c-5p,-0.08845237603575999,0.08845237603575999
101,3,FL-LAR-5,FL,mmu-miR-92a-1-5p,mmu-miR-26a-5p,-0.08979442443014711,0.08979442443014711
101,3,FL-LAR-5,FL,mmu-miR-92a-1-5p,mmu-let-7a-5p,-0.03949060864397333,0.03949060864397333
101,3,FL-LAR-5,FL,mmu-miR-92a-1-5p,mmu-miR-181a-5p,-0.11766695737787816,0.11766695737787816
101,4,HC-LAR-1,HC,mmu-miR-122-5p,mmu-miR-124-3p,0.3867211532268509,0.3867211532268509
101,4,HC-LAR-1,HC,mmu-miR-122-5p,mmu-let-7c-5p,-0.16653848389026574,0.16653848389026574
101,4,HC-LAR-1,HC,mmu-miR-122-5p,mmu-let-7a-5p,-0.010945590990983523,0.010945590990983523
101,4,HC-LAR-1,HC,mmu-miR-122-5p,mmu-let-7b-5p,-0.25299241186415505,0.25299241186415505
101,4,HC-LAR-1,HC,mmu-miR-122-5p,mmu-miR-26a-5p,0.2920254117547302,0.2920254117547302
101,4,HC-LAR-1,HC,mmu-miR-17-5p,mmu-miR-124-3p,-0.9991394135352191,0.9991394135352191
