fold,held_out_sample_id,cohort,train_sample_count,rank,target,training_variance,fold_target_set,matches_full_cohort_reference
6,HC-LAR-5,HC,8,3,mmu-miR-26a-5p,41060227919.48214,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
6,HC-LAR-5,HC,8,4,mmu-let-7a-5p,40951769776.07143,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
6,HC-LAR-5,HC,8,5,mmu-miR-181a-5p,27660657522.5,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
7,VC-LAR-1,VC,8,1,mmu-miR-124-3p,238477162062.125,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p,False
7,VC-LAR-1,VC,8,2,mmu-let-7c-5p,31767092724.495537,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p,False
7,VC-LAR-1,VC,8,3,mmu-miR-26a-5p,29087130859.995537,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p,False
7,VC-LAR-1,VC,8,4,mmu-miR-181a-5p,28024009267.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p,False
7,VC-LAR-1,VC,8,5,mmu-let-7a-5p,17007021273.924107,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p,False
8,VC-LAR-13,VC,8,1,mmu-miR-124-3p,246454213701.16672,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
8,VC-LAR-13,VC,8,2,mmu-let-7c-5p,99219949665.21428,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
8,VC-LAR-13,VC,8,3,mmu-let-7a-5p,40677311518.69643,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
8,VC-LAR-13,VC,8,4,mmu-miR-26a-5p,40239593793.48214,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
8,VC-LAR-13,VC,8,5,mmu-let-7b-5p,29263689399.55357,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
9,VC-LAR-5,VC,8,1,mmu-miR-124-3p,147834910513.7917,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
9,VC-LAR-5,VC,8,2,mmu-let-7c-5p,97781303681.83928,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
9,VC-LAR-5,VC,8,3,mmu-miR-26a-5p,37796024378.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
9,VC-LAR-5,VC,8,4,mmu-let-7a-5p,36740485070.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
9,VC-LAR-5,VC,8,5,mmu-let-7b-5p,28539267864.55357,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
